"year"	"category"	"n"
"2004"	"clothing, beauty, & fashion"	141
"2004"	"computers & internet"	2489
"2004"	"education"	151
"2004"	"food & drink"	275
"2005"	"clothing, beauty, & fashion"	203
"2005"	"computers & internet"	2200
"2005"	"education"	201
"2005"	"food & drink"	324
"2006"	"clothing, beauty, & fashion"	203
"2006"	"computers & internet"	2200
"2006"	"education"	201
"2006"	"food & drink"	324
"2007"	"clothing, beauty, & fashion"	203
"2007"	"computers & internet"	2200
"2007"	"education"	201
"2007"	"food & drink"	324
